n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,acc_train,acc_test,f1_train,f1_test,n_features_
200,64.0,sqrt,5,2.0,0.9288617148662869,0.8694484760522496,0.6881388784612091,0.6397281748349514,324
200,,sqrt,5,2.0,0.9291520011611452,0.8690856313497823,0.6845139666489245,0.6394900172393939,324
300,64.0,sqrt,5,2.0,0.9290975724808592,0.8690130624092888,0.6853039460975547,0.6394857080287332,324
200,64.0,sqrt,2,2.0,0.9317101491345839,0.8686502177068215,0.6912400035411629,0.639084892561301,324
100,,sqrt,2,2.0,0.9304220037011502,0.8684325108853411,0.6864486280431815,0.6390795186379564,324
100,64.0,sqrt,5,2.0,0.927736855473711,0.8684325108853411,0.6850920002718667,0.6390635937563015,324
100,64.0,sqrt,2,2.0,0.9310207191842955,0.8684325108853411,0.6878419300311224,0.638995134300793,324
100,32.0,sqrt,5,2.0,0.9114626800682173,0.8657474600870827,0.6682032143673937,0.6368043056551259,324
300,32.0,sqrt,5,2.0,0.9115171087485032,0.8656748911465892,0.6671460570440586,0.6367197121112753,324
300,32.0,sqrt,2,2.0,0.9122246815922204,0.8655297532656023,0.6647417009592975,0.6366843781137982,324
100,32.0,sqrt,2,2.0,0.9121158242316485,0.8654571843251089,0.6693236208468393,0.6366625173290452,324
200,32.0,sqrt,5,2.0,0.9108821074785006,0.865312046444122,0.6636844664873068,0.6364239936919537,324
200,32.0,sqrt,2,2.0,0.9118981095105048,0.8646589259796807,0.6684395707224698,0.6359068186789384,324
200,,sqrt,2,2.0,0.9316012917740121,0.8688679245283019,0.6873372034849833,0.6352713565817129,324
100,,sqrt,5,2.0,0.9289705722268587,0.8682873730043541,0.6888784065814252,0.6349074168409681,324
100,20.0,sqrt,2,1.0,0.8966580790304438,0.8591436865021771,0.6685820671590307,0.6346030536198219,324
300,20.0,sqrt,2,1.0,0.8966036503501579,0.858200290275762,0.6698942431079375,0.6340135885084707,324
200,20.0,sqrt,2,1.0,0.8967850792844443,0.8572568940493469,0.671867115963047,0.6332242366496823,324
